,Fighter Name,Age,Height,Reach,Overall Record,Record in Last 5,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,# of Fights,KO Win %,Sub Win %,Dec Win %,Finish Rate,KO Wins,KO Losses,Sub Wins,Sub Losses,Dec Wins,Dec Losses,DQ Wins,DQ Losses,Odds,Category
450,Jose Aldo,37,67,70.0,31-08-0,3-0,3.57,46%,3.74,60%,-0.17,0.49,54%,91%,0.1,39,43.59%,2.56%,33.33%,46.15%,17,4,1,1,13,3,0,0,137.0,Bantamweight Bout
451,Victor Henry,37,67,68.0,23-06-0,3-1 (1,8.26,54%,5.95,47%,2.31,0.0,0%,78%,0.6,30,20.00%,26.67%,30.00%,46.67%,6,0,8,0,9,6,0,0,-455.0,Bantamweight Bout
452,Jean Matsumoto,24,66,68.0,14-0-0,5-0,6.67,36%,6.6,49%,0.07,0.0,0%,66%,0.0,14,21.43%,35.71%,42.86%,57.14%,3,0,5,0,6,0,0,0,-183.0,Bantamweight Bout
453,Caolan Loughran,27,66,68.0,08-01-0,04-01,3.2,36%,5.6,48%,-2.4,2.0,18%,0%,0.0,9,55.56%,22.22%,11.11%,77.78%,5,0,2,0,1,1,0,0,-350.0,Bantamweight Bout
454,Cameron Saaiman,23,68,67.0,09-01-0,04-01,5.28,46%,3.24,55%,2.04,1.0,36%,44%,0.8,10,60.00%,10.00%,20.00%,70.00%,6,0,1,0,2,1,0,0,130.0,Bantamweight Bout
455,Cameron Saaiman,23,68,67.0,09-01-0,04-01,5.28,46%,3.24,55%,2.04,1.0,36%,44%,0.8,10,60.00%,10.00%,20.00%,70.00%,6,0,1,0,2,1,0,0,-136.0,Bantamweight Bout
456,Cody Gibson,36,70,71.0,19-09-0,03-02,4.75,45%,4.73,55%,0.02,1.35,35%,64%,0.3,29,24.14%,17.24%,27.59%,41.38%,7,0,5,4,8,5,0,0,130.0,Bantamweight Bout
457,Kyler Phillips,28,68,72.0,11-02-0,04-01,5.36,46%,3.36,61%,2.0,2.87,46%,70%,0.6,13,38.46%,15.38%,30.77%,53.85%,5,0,2,0,4,2,0,0,-210.0,Bantamweight Bout
458,Bekzat Almakhan,26,67,,17-01-0,5-0,0.0,0%,0.0,0%,0.0,0.0,0%,0%,0.0,18,72.00%,11.00%,11.00%,83.33%,13,0,2,1,2,0,0,0,700.0,Bantamweight Bout
459,Benardo Sopaj,23,66,,11-02-0,04-01,0.0,0%,0.0,0%,0.0,0.0,0%,0%,0.0,13,54.00%,23.00%,8.00%,76.92%,7,0,3,0,1,2,0,0,124.0,Bantamweight Bout
460,Raoni Barcelos,36,68,72.0,17-05-0,01-04,5.38,51%,5.03,61%,0.35,1.8,37%,90%,0.4,22,36.00%,9.00%,32.00%,45.45%,8,1,2,1,7,3,0,0,-190.0,Bantamweight Bout
461,Henry Cejudo,37,64,67.5,16-03-0,04-01,3.93,47%,3.15,60%,0.78,2.07,34%,83%,0.2,19,37.00%,5.00%,42.00%,42.11%,7,1,1,0,8,2,0,0,180.0,Bantamweight Bout
462,Carlos Vera,36,66,69.5,11-03-0,04-01,0.0,0%,0.0,0%,0.0,0.0,0%,0%,0.0,14,7.00%,36.00%,36.00%,42.86%,1,0,5,2,5,1,0,0,700.0,Bantamweight Bout
463,Carlos Vera,36,66,69.5,11-03-0,04-01,0.0,0%,0.0,0%,0.0,0.0,0%,0%,0.0,14,7.00%,36.00%,36.00%,42.86%,1,0,5,2,5,1,0,0,700.0,Bantamweight Bout
464,Garrett Armfield,27,66,70.0,09-03-0,04-01,5.29,44%,3.52,57%,1.77,0.0,0%,75%,0.0,12,50.00%,17.00%,8.00%,66.67%,6,0,2,2,1,1,0,0,153.0,Bantamweight Bout
465,Ramon Taveras,30,68,70.0,09-02-0,04-01,7.2,58%,6.17,66%,1.03,0.0,0%,0%,0.0,11,45.00%,27.00%,9.00%,72.73%,5,2,3,0,1,0,0,0,158.0,Bantamweight Bout
466,Gaston Bolanos,31,67,69.0,07-03-0,03-02,4.2,49%,1.13,56%,3.07,0.0,0%,40%,0.0,10,60.00%,0.00%,10.00%,60.00%,6,0,0,2,1,1,0,0,220.0,Bantamweight Bout
467,Taylor Lapilus,31,66,73.0,19-03-0,5-0,4.18,47%,2.27,62%,1.91,0.45,40%,81%,0.5,22,18.00%,27.00%,41.00%,45.45%,4,0,6,0,9,3,0,0,250.0,Bantamweight Bout
468,Nick Aguirre,27,69,74.0,07-01-0,04-01,0.93,31%,3.13,44%,-2.2,0.0,0%,33%,1.0,8,38.00%,50.00%,0.00%,87.50%,3,0,4,0,0,1,0,0,700.0,Bantamweight Bout
469,Kyung Ho Kang,36,69,73.0,19-09-0,04-01,3.09,49%,2.91,58%,0.18,2.07,57%,70%,0.9,28,7.00%,43.00%,18.00%,50.00%,2,1,12,1,5,6,0,1,-130.0,Catch Weight Bout
470,Joanderson Brito,29,68,72.0,16-03-0,04-01,3.32,51%,2.62,47%,0.7,3.4,75%,50%,0.8,20,35.00%,35.00%,10.00%,70.00%,7,1,7,1,2,1,0,0,-138.0,Featherweight Bout
471,Joanderson Brito,28,68,72.0,15-03-0,04-01,4.02,52%,2.92,50%,1.1,3.89,72%,0%,0.5,19,32.00%,37.00%,11.00%,68.42%,6,1,7,1,2,1,0,0,-138.0,Featherweight Bout
472,Joanderson Brito,29,68,72.0,16-03-0,04-01,3.32,51%,2.62,47%,0.7,3.4,75%,50%,0.8,20,35.00%,35.00%,10.00%,70.00%,7,1,7,1,2,1,0,0,130.0,Featherweight Bout
473,Joanderson Brito,28,68,72.0,15-03-0,04-01,4.02,52%,2.92,50%,1.1,3.89,72%,0%,0.5,19,32.00%,37.00%,11.00%,68.42%,6,1,7,1,2,1,0,0,130.0,Featherweight Bout
474,David Onama,29,71,74.0,11-02-0,03-02,5.38,46%,5.48,51%,-0.1,0.87,18%,45%,0.3,13,53.85%,30.77%,0.00%,84.62%,7,0,4,0,0,2,0,0,145.0,Featherweight Bout
475,Kyle Nelson,32,71,71.0,15-05-0,02-02-2001,3.46,44%,4.56,52%,-1.1,1.15,20%,73%,0.7,21,23.81%,19.05%,28.57%,42.86%,5,2,4,1,6,2,0,0,200.0,Featherweight Bout
476,Connor Matthews,31,68,71.0,07-01-0,04-01,5.13,44%,5.57,55%,-0.44,3.5,58%,50%,1.0,8,12.50%,62.50%,12.50%,75.00%,1,0,5,0,1,1,0,0,107.0,Featherweight Bout
477,Youssef Zalal,27,70,72.0,13-05-0,03-01-2001,2.75,48%,1.75,64%,1.0,2.14,31%,60%,1.1,19,21.05%,31.58%,15.79%,52.63%,4,0,6,0,3,5,0,0,137.0,Featherweight Bout
478,Luis Pajuelo,29,70,69.0,08-01-0,5-0,9.15,61%,5.11,62%,4.04,0.0,0%,66%,0.0,9,77.78%,0.00%,11.11%,77.78%,7,0,0,0,1,1,0,0,137.0,Featherweight Bout
479,Steven Nguyen,30,71,73.0,09-01-0,04-01,8.29,43%,7.49,63%,0.8,0.0,0%,83%,0.0,10,40.00%,30.00%,20.00%,70.00%,4,1,3,0,2,0,0,0,-190.0,Featherweight Bout
480,Isaac Dulgarian,27,67,71.0,6-0-0,5-0,7.29,66%,0.42,71%,6.87,3.13,100%,0%,0.0,6,67.00%,33.00%,0.00%,100.00%,4,0,2,0,0,0,0,0,-184.0,Featherweight Bout
481,Brian Ortega,33,68,69.0,15-03-0,02-03,4.19,38%,6.66,49%,-2.47,0.95,23%,56%,1.2,18,17.00%,39.00%,28.00%,55.56%,3,2,7,0,5,1,0,0,128.0,Featherweight Bout
482,Muhammad Naimov,29,69,70.0,10-02-0,5-0,3.37,46%,4.66,41%,-1.29,1.58,28%,57%,0.0,12,33.00%,25.00%,25.00%,58.33%,4,0,3,0,3,2,0,0,-400.0,Featherweight Bout
483,JeongYeong Lee,28,70,73.0,10-01-0,5-0,2.39,47%,1.84,55%,0.55,0.0,0%,73%,0.9,11,36.00%,27.00%,27.00%,63.64%,4,0,3,0,3,1,0,0,-145.0,Featherweight Bout
484,Bryce Mitchell,29,70,70.0,16-01-0,04-01,2.34,58%,1.64,58%,0.7,3.51,41%,33%,1.6,17,0.00%,53.00%,41.00%,52.94%,0,0,9,1,7,0,0,0,-235.0,Featherweight Bout
485,Lucas Almeida,32,71,71.0,14-02-0,03-02,5.29,47%,5.29,45%,0.0,0.0,0%,40%,0.0,16,56.00%,31.00%,0.00%,87.50%,9,0,5,1,0,1,0,0,148.0,Featherweight Bout
486,Lucas Alexander,28,71,73.0,08-03-0,04-01,5.05,53%,1.76,72%,3.29,0.0,0%,66%,0.0,11,27.00%,0.00%,45.00%,27.27%,3,0,0,3,5,0,0,0,520.0,Featherweight Bout
487,Pat Sabatini,33,68,70.0,18-04-0,04-01,1.95,59%,1.35,51%,0.6,3.83,45%,42%,1.9,22,5.00%,55.00%,23.00%,59.09%,1,2,12,0,5,2,0,0,-104.0,Featherweight Bout
488,Sean Woodson,31,74,78.0,11-01-0,4-0-1,5.4,46%,4.0,58%,1.4,0.76,62%,84%,0.5,13,23.08%,7.69%,53.85%,30.77%,3,0,1,1,7,0,0,0,-195.0,Featherweight Bout
489,Sean Woodson,31,74,78.0,10-01-0,03-01-2001,5.41,46%,4.0,57%,1.41,0.71,80%,83%,0.5,12,25.00%,8.00%,50.00%,33.33%,3,0,1,1,6,0,0,0,-195.0,Featherweight Bout
490,Sean Woodson,31,74,78.0,11-01-0,4-0-1,5.4,46%,4.0,58%,1.4,0.76,62%,84%,0.5,13,23.08%,7.69%,53.85%,30.77%,3,0,1,1,7,0,0,0,155.0,Featherweight Bout
491,Sean Woodson,31,74,78.0,10-01-0,03-01-2001,5.41,46%,4.0,57%,1.41,0.71,80%,83%,0.5,12,25.00%,8.00%,50.00%,33.33%,3,0,1,1,6,0,0,0,155.0,Featherweight Bout
492,Aljamain Sterling,34,67,71.0,23-04-0,04-01,4.73,52%,2.41,58%,2.32,1.97,24%,45%,0.8,27,11.11%,29.63%,40.74%,40.74%,3,2,8,0,11,2,1,0,-160.0,Featherweight Bout
493,Damon Jackson,35,71,71.0,22-06-0,03-02,3.02,40%,3.46,50%,-0.44,2.44,34%,40%,1.6,30,13.33%,50.00%,10.00%,63.33%,4,4,15,1,3,1,0,0,170.0,Featherweight Bout
