,Fighter Name,Age,Height,Reach,Overall Record,Record in Last 5,Sig. Strikes Landed/min,Striking Accuracy (%),Sig. Strikes Absorbed/min,Striking Defense (%),Differential/min (+/-),Takedown Avg/15min,Takedown Accuracy (%),Takedown Defense (%),Sub Attempt Avg/15min,# of Fights,KO Win %,Sub Win %,Dec Win %,Finish Rate,KO Wins,KO Losses,Sub Wins,Sub Losses,Dec Wins,Dec Losses,DQ Wins,DQ Losses,Odds,Category
284,Jack Hermansson,35,73,77.5,23-08-0,02-03,5.13,0.44,3.69,0.55,1.44,1.66,0.29,0.75,0.4,31,0.3226,0.22579999999999997,0.1935,0.5484,10,3,7,2,6,3,0,0,205.0,Middleweight Bout
285,Chris Curtis,36,70,75.0,31-10-0,2-2 (1 NC),5.96,0.51,6.58,0.53,-0.62,0.0,0.0,0.92,0.0,42,0.4048,0.023799999999999998,0.3095,0.4286,17,1,1,1,13,8,0,0,-170.0,Middleweight Bout
286,Chris Curtis,36,70,75.5,30-10-0,2-2 (1 NC),5.36,0.5,6.3,0.54,-0.94,0.0,0.0,0.92,0.0,40,0.38,0.08,0.3,0.45,15,1,3,1,12,8,0,0,-170.0,Middleweight Bout
287,Chris Curtis,36,70,75.0,31-10-0,2-2 (1 NC),5.96,0.51,6.58,0.53,-0.62,0.0,0.0,0.92,0.0,42,0.4048,0.023799999999999998,0.3095,0.4286,17,1,1,1,13,8,0,0,182.0,Middleweight Bout
288,Chris Curtis,36,70,75.5,30-10-0,2-2 (1 NC),5.36,0.5,6.3,0.54,-0.94,0.0,0.0,0.92,0.0,40,0.38,0.08,0.3,0.45,15,1,3,1,12,8,0,0,182.0,Middleweight Bout
289,Phil Hawes,35,72,77.5,12-05-0,02-03,5.55,0.59,3.7,0.55,1.85,2.28,0.36,1.0,0.2,17,0.47,0.12,0.12,0.5882000000000001,8,4,2,1,2,0,0,0,105.0,Middleweight Bout
290,Michel Pereira,30,73,73.0,30-11-0,5-0,5.15,0.54,3.71,0.58,1.44,1.55,0.55,0.94,0.7,43,0.25579999999999997,0.18600000000000003,0.25579999999999997,0.44189999999999996,11,1,8,1,11,8,0,1,-600.0,Middleweight Bout
291,Michel Pereira,30,73,73.0,29-11-0,5-0,5.09,0.53,3.74,0.58,1.35,1.56,0.55,0.94,0.6,42,0.2619,0.16670000000000001,0.2619,0.4286,11,1,7,1,11,8,0,1,-600.0,Middleweight Bout
292,Michel Pereira,30,73,73.0,30-11-0,5-0,5.15,0.54,3.71,0.58,1.44,1.55,0.55,0.94,0.7,43,0.25579999999999997,0.18600000000000003,0.25579999999999997,0.44189999999999996,11,1,8,1,11,8,0,1,-326.0,Middleweight Bout
293,Michel Pereira,30,73,73.0,29-11-0,5-0,5.09,0.53,3.74,0.58,1.35,1.56,0.55,0.94,0.6,42,0.2619,0.16670000000000001,0.2619,0.4286,11,1,7,1,11,8,0,1,-326.0,Middleweight Bout
